Crop;Variedade;Produto + Unidade de venda;Lote;Emb.;Vencimento embalagem;Chemical Treatment Name;Quantidade
Gherkin;SOUND &O;PR F-CT TPC;101910231;1TPC;2021-02-10 (1): 01/2023 (BAS 0104_2022) Segunda Rean lise,;ProSeed:thiram (f);75,00
Tomato;FRATELLINO;NS CT GSPP TPC;101913435;100PC;2021-01-21 (1): 12/2022 R. (BAS 0972_2021),;None;39,60
Tomato;MESSINA;NS CT GSPP TPC;101922886;100PC;2021-02-23 (1): 12/2022 R. (BAS 0977_2021),;None;0,10
Melon;GALACTUS;PR F-CT TPC;101930712;5TPC;2021-05-14 (1): 06/2022 R.  (BAS 0506_21),;ProSeed:thiram (f);400,00
Sweet pepper;OBEDIUS;PR F-CT TPC;101939064;500PC;2021-02-26 (1): 01/2023 (BAS 0122_2022) Segunda rean lise,;ProSeed:thiram (f);3,00
Sweet pepper;ARANCIA;PR F-CT TPC;101939345;500PC;2021-03-22 (1): 01/2023 (BAS 0121_2022) Segunda rean lise,;ProSeed:thiram (f);32,50
Melon;GALACTUS;PR F-CT TPC;101950469;5TPC;2021-05-14 (1): 06/2022 R. (BAS 0505_21),;ProSeed:thiram (f);425,00
Tomato;MAGGINO;NS CT GSPP TPC;101963187;100PC;2021-05-11 (1): 10/2022 R. (BAS 0778_2021),;None;54,70
Rootstock solanaceae;ANCHOR &O;NS CT TPC;101996001;1TPC;2021-03-23 (1): 06/2022 R. (BAS 058_2021),;None;552,00
Sweet pepper;PALERMO;PR F-CT TPC;102003049;500PC;2021-02-26 (1): 02/2023 (BAS 0149_2022) Segunda rean lise,;ProSeed:thiram (f);21,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);6.400,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.800,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.800,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.800,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.800,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.800,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.800,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.800,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.800,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);4.000,00
Beetroot;LIBERO;PR F-CT 2,75-3,50 TPC;102013344;100TPC;2021-04-13 (1): 03/2022 R. (BAS 0314_2021),;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);2.700,00
Multi-leaf lettuce;BARLACH;NS KG;102042667;50G;2019-11-29 (1): PBR/PVP,;None;0,15
Melon;DOLSURA;PR TPC;102052073;1TPC;2019-11-29 (1): 09/2021, PBR/PVP,;None;3,00
Tomato;VALOURO;NS CT TPC;102057139;1TPC;2021-06-24 (1): 08/2022 R. (BAS 0711_2021),;None;51,00
Sweet pepper;TATIN;PR F-CT TPC;102062530;500PC;2021-05-24 (1): 08/2022 R. (BAS 0724_2021),;ProSeed:thiram (f);23,50
Sweet pepper;TARTA;PR F-CT TPC;102063446;500PC;2021-05-07 (1): 08/2022 R. (BAS 0725_2021),;ProSeed:thiram (f);56,00
Blanched celery;KYLIAN;NS F-CT TPC;102063646;1TPC;2021-02-22 (1): 12/2022 R. (BAS 0024_2022),;ProSeed:thiram (f);211,00
Sweet pepper;BACHATA;PR F-CT TPC;102065877;500PC;2021-05-07 (1): 09/2022 R. (BAS 0070_2021),;ProSeed:thiram (f);35,50
Sweet pepper;ZUPPA;PR F-CT TPC;102066296;500PC;2021-05-07 (1): 08/2022 R. (BAS 0723_2021),;ProSeed:thiram (f);77,50
Melon;CRUCIAL;PR TPC;102105672;1TPC;2020-01-28 (1): PBR, 01/2022,;None;4,00
Melon;FLECHAVERDE;PR TPC;102105775;1TPC;2020-01-28 (1): 01/2022, PBR,;None;4,00
Sweet pepper;MARSELAN;PR TPC;102112668;500PC;2020-04-15 (1): 12/2021, PBR/PVP,;None;0,50
Melon;ELDOR;PR TPC;102121819;1TPC;2020-01-28 (1): 01/2022 ,PBR,;None;3,00
Melon;GLADIAL;PR F-CT TPC;102159063;1TPC;2020-03-12 (1): 03/2022,;Maxim 480FS:fludioxonil Group 1M (f);21,00
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102169970;1TPC;2021-06-23 (1): 01/2023 (BAS 0097_2022),;Maxim 480FS:fludioxonil Group 6M (f);72,00
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102169970;1TPC;2021-06-23 (1): 01/2023 (BAS 0097_2022),;Maxim 480FS:fludioxonil Group 6M (f);56,00
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102194752;1TPC;2021-04-27 (1): 05/2022,;Maxim 480FS:fludioxonil Group 6M (f);810,00
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102194752;1TPC;2021-04-27 (1): 05/2022,;Maxim 480FS:fludioxonil Group 6M (f);60,00
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102194752;1TPC;2021-04-27 (1): 05/2022,;Maxim 480FS:fludioxonil Group 6M (f);55,00
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102194752;1TPC;2021-04-27 (1): 05/2022,;Maxim 480FS:fludioxonil Group 6M (f);12,00
Sweet pepper;RED JET;PR F-CT TPC;102198244;500PC;2021-05-24 (1): 06/2022,;Maxim 480FS:fludioxonil Group 1M (f);83,00
Tomato;VALOURO;NS CT TPC;102210245;1TPC;2021-05-18 (1): 06/2022,;None;270,00
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102214663;1TPC;2021-04-27 (1): 06/2022,;Maxim 480FS:fludioxonil Group 6M (f);96,00
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102214663;1TPC;2021-04-27 (1): 06/2022,;Maxim 480FS:fludioxonil Group 6M (f);96,00
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102214663;1TPC;2021-04-27 (1): 06/2022,;Maxim 480FS:fludioxonil Group 6M (f);96,00
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102214663;1TPC;2021-04-27 (1): 06/2022,;Maxim 480FS:fludioxonil Group 6M (f);96,00
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102214663;1TPC;2021-04-27 (1): 06/2022,;Maxim 480FS:fludioxonil Group 6M (f);21,00
Sweet pepper;BACHATA;PR F-CT TPC;102234956;500PC;2021-05-07 (1): 07/2022,;Maxim 480FS:fludioxonil Group 1M (f);250,00
Sweet pepper;BACHATA;PR F-CT TPC;102234956;500PC;2021-05-07 (1): 07/2022,;Maxim 480FS:fludioxonil Group 1M (f);55,00
Spinach;SILVERWHALE;PR FT MPC;102264030;25TPC;2021-05-24 (1): 05/2022,;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);2,15
Tomato;TATAMI;NS GSPP TPC;102279820;100PC;2021-05-24 (1): 10/2022,;None;13,80
Watermelon;TIGRINHO;PR F-CT TPC;102282116;1TPC;2021-03-08 (1): 10/2022,;Maxim 480FS:fludioxonil Group 1M (f);126,00
Aubergine;SABELLE;PR TPC;102303486;1TPC;2021-05-18 (1): 11/2022,;None;80,00
Sweet pepper;VERDIAL;PR TPC;102306179;500PC;2021-05-24 (1): 11/2022,;None;35,50
Butterhead lettuce;NATALIA;PR PILL FT TE 3,00-3,50 TPC;102312270;1TPC;2021-04-27 (1): 12/2021,;Maxim 480FS:fludioxonil Group 6M (f);18,00
Aubergine;SHARAPOVA;PR TPC;102321704;1TPC;2021-06-07 (1): 01/2023,;None;9,00
Watermelon;TIGRINHO;PR F-CT TPC;102322502;1TPC;2021-02-08 (1): 12/2022,;Maxim 480FS:fludioxonil Group 1M (f);849,00
Watermelon;TIGRINHO;PR F-CT TPC;102322505;1TPC;2021-05-11 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);1.000,00
Watermelon;TIGRINHO;PR F-CT TPC;102322505;1TPC;2021-05-11 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);1.000,00
Watermelon;TIGRINHO;PR F-CT TPC;102322505;1TPC;2021-05-11 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);185,00
Watermelon;CAMPOLINA;PR F-CT TPC;102336563;1TPC;2021-02-08 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);450,00
Watermelon;CAMPOLINA;PR F-CT TPC;102336563;1TPC;2021-02-08 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);450,00
Watermelon;CAMPOLINA;PR F-CT TPC;102336563;1TPC;2021-02-08 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);157,00
Sweet pepper;AVANTE;PR F-CT TPC;102339370;500PC;2021-05-07 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);71,00
Oak leaf lettuce;MONDAI;PR PILL FT TE 3,00-3,50 TPC;102343968;5TPC;2021-05-28 (1): 02/2022 (Wendy:AFG germination result will be available December 24th, 2021),;Maxim 480FS:fludioxonil Group 6M (f);220,00
Sweet pepper;OBEDIUS;PR TPC;102352887;500PC;2021-04-14 (1): PBR, 01/2023,;None;9,00
Broccoli;LARSSON &O;PR F-CT 1,50-1,75 TPC;102353762;2.5TPC;2021-04-15 (1): 10/2022,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);2,50
Broccoli;LARSSON &O;PR F-CT 1,50-1,75 TPC;102364340;2.5TPC;2021-04-15 (1): 02/2023,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);740,00
Oak leaf lettuce;ROUXAI;PR PILL FT TE 3,00-3,50 TPC;102367687;1TPC;2021-07-28 (1): 03/2022,;Maxim 480FS:fludioxonil Group 6M (f);58,00
Sweet pepper;ARANCIA;PR F-CT TPC;102369190;500PC;2021-04-27 (1): 03/2023,;Maxim 480FS:fludioxonil Group 1M (f);32,00
Sweet pepper;PAINITA;PR F-CT TPC;102369218;1TPC;2021-09-20 (1): 03/2023,;Maxim 480FS:fludioxonil Group 1M (f);50,00
Blanched celery;KYLIAN;NS TPC;102369367;1TPC;2021-07-29 (1): 03/2023,;None;85,00
Gherkin;SOUND &O;PR F-CT TPC;102370402;1TPC;2021-07-29 (1): 03/2023,;ProSeed:thiram (f);111,00
Sweet pepper;CRIPTONIO;PR F-CT TPC;102373134;1TPC;2021-07-28 (1): 03/2023,;Maxim 480FS:fludioxonil Group 1M (f);2,00
Spinach;PILOTFISH &O;PR FT MPC;102374041;25TPC;2021-06-18 (1): 09/2022,;Aatiram 65: thiram / Apron XL: metalaxyl M (Mefenoxam©) (f);1,68
White cabbage;BOLEROMA;NS F-CT TPC;102374312;2.5TPC;2021-10-06 (1): 03/2023,;Maxim 480FS:fludioxonil Group 6M / Apron XL: metalaxyl M (Mefenoxam©) (f);105,00
Oak leaf lettuce;MONDAI;PR PILL FT TE 3,00-3,50 TPC;102381729;5TPC;2021-07-28 (1): 10/2022,;Maxim 480FS:fludioxonil Group 6M (f);530,00
Sweet pepper;REDWING;PR F-CT TPC;102384710;500PC;2021-05-03 (1): 04/2023,;Maxim 480FS:fludioxonil Group 1M (f);35,00
Endive;ANCONI;PR PILL 2,25-2,75 TPC;102386107;5TPC;2021-05-24 (1): 01/2023,;None;170,00
Multi-leaf lettuce;XANDRA;PR PILL FT TE 3,00-3,50 TPC;102390179;5TPC;2021-06-18 (1): 11/2022,;Maxim 480FS:fludioxonil Group 6M (f);35,00
Sweet pepper;SPINEL;PR F-CT TPC;102398631;1TPC;2021-07-28 (1): 05/2023,;Maxim 480FS:fludioxonil Group 1M (f);8,00
Mini cucumber;QUARTO &O;PR F-CT TPC;102402170;100PC;2021-10-06 (1): 03/2023,;Maxim 480FS:fludioxonil Group 6M (f);68,30
Oak leaf lettuce;KRISTINE;PR PILL FT TE 3,00-3,50 TPC;102403536;5TPC;2021-12-16 (1): 11/2022,;Maxim 480FS:fludioxonil Group 6M (f);140,00
White cabbage;SONSMA;PR F-CT 2,00-2,25 TPC;102403993;2.5TPC;2021-09-20 (1): 07/2022,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);42,50
Incised leaf lettuce;BELLAGON;PR PILL FT TE 3,00-3,50 TPC;102405059;5TPC;2021-09-20 (1): 01/2023,;Maxim 480FS:fludioxonil Group 6M (f);5,00
Gem Lettuce;ASTORGA;PR PILL FT TE 3,00-3,50 TPC;102406179;5TPC;2021-11-17 (1): 12/2022,;Maxim 480FS:fludioxonil Group 6M (f);45,00
Gem Lettuce;TUDELA;PR PILL FT TE 3,00-3,50 TPC;102412687;5TPC;2021-09-20 (1): 01/2023,;Maxim 480FS:fludioxonil Group 6M (f);15,00
Sweet pepper;AVANTE;PR F-CT TPC;102418842;500PC;2021-07-28 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);68,00
Sweet pepper;CRIPTONIO;PR F-CT TPC;102420351;1TPC;2021-09-20 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);351,00
Sweet pepper;PALERMO;PR F-CT TPC;102421890;500PC;2021-07-28 (1): 01/2023,;Maxim 480FS:fludioxonil Group 1M (f);168,00
Rootstock solanaceae;EMPERADOR;NS PILL LIGHT PM 3,00-3,50 GSPP TPC;102425035;1TPC;2021-07-28 (1): 02/2022,;None;42,00
Butterhead lettuce;NADINE;PR PILL FT TE 3,00-3,50 TPC;102427342;5TPC;2021-07-28 (1): 10/2022,;Maxim 480FS:fludioxonil Group 6M (f);5,00
Butterhead lettuce;NADINE;PR PILL FT TE 3,00-3,50 TPC;102427343;1TPC;2021-07-28 (1): 04/2022,;Maxim 480FS:fludioxonil Group 6M (f);47,00
Aubergine;SHARAPOVA;PR TPC;102428603;1TPC;2021-11-17 (1): 01/2023,;None;268,00
Sweet pepper;CRUCERO &O;PR F-CT TPC;102432635;1TPC;2021-11-17 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);209,00
Sweet pepper;REDWING;PR F-CT TPC;102432733;500PC;2021-12-16 (1): 06/2023,;Maxim 480FS:fludioxonil Group 1M (f);88,50
Aubergine;ANGELA;PR TPC;102432795;1TPC;2021-09-20 (1): 07/2023,;None;112,00
Red cabbage;REDMA;NS F-CT TPC;102433022;1TPC;2021-09-20 (1): 07/2022,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);1,00
Tomato;TRONUS;NS CT GSPP TPC;102434040;1TPC;2021-09-20 (1): 07/2023,;None;962,00
Incised leaf lettuce;DESIRADE;PR PILL FT TE 3,00-3,50 TPC;102434353;1TPC;2021-09-20 (1): 06/2022,;Maxim 480FS:fludioxonil Group 6M (f);84,00
Gem Lettuce;ROSAINE;PR PILL FT TE 3,00-3,50 TPC;102434928;5TPC;2021-11-17 (1): 02/2023,;Maxim 480FS:fludioxonil Group 6M (f);5,00
Incised leaf lettuce;DESIRADE;PR PILL FT TE 3,00-3,50 TPC;102435682;5TPC;2021-11-17 (1): 02/2023,;Maxim 480FS:fludioxonil Group 6M (f);590,00
Oak leaf lettuce;MONDAI;PR PILL FT TE 3,00-3,50 TPC;102439024;5TPC;2021-11-17 (1): 01/2023,;Maxim 480FS:fludioxonil Group 6M (f);345,00
Sweet pepper;OBEDIUS;PR F-CT TPC;102441864;500PC;2021-07-28 (1): 07/2023,;Maxim 480FS:fludioxonil Group 1M (f);98,00
Multi-leaf lettuce;XANDRA;PR PILL FT TE 3,00-3,50 TPC;102443100;1TPC;2021-07-29 (1): 06/2022,;Maxim 480FS:fludioxonil Group 6M (f);16,00
Multi-leaf lettuce;COUSTEAU;PR PILL FT TE 3,00-3,50 TPC;102443290;5TPC;2021-12-16 (1): 02/2023,;Maxim 480FS:fludioxonil Group 6M (f);560,00
Rootstock Capsicum;BEDROCK;NS F-CT TPC;102447031;1TPC;2021-09-20 (1): 07/2023,;Maxim 480FS:fludioxonil Group 1M (f);27,00
Gem Lettuce;ASTORGA;PR PILL FT TE 3,00-3,50 TPC;102449319;5TPC;2021-11-17 (1): 02/2023,;Maxim 480FS:fludioxonil Group 6M (f);110,00
Tomato;FRATELLINO;NS GSPP TPC;102450048;1TPC;2021-09-20 (1): 07/2023 PBR,;None;13,00
Sweet pepper;YOSEMITE;PR F-CT TPC;102450094;500PC;2021-09-20 (1): 07/2023,;Maxim 480FS:fludioxonil Group 1M (f);94,50
Multi-leaf lettuce;XANDRA;PR PILL FT TE 3,00-3,50 TPC;102450100;5TPC;2021-11-17 (1): 02/2023,;Maxim 480FS:fludioxonil Group 6M (f);420,00
Oak leaf lettuce;KIRIBATI;PR PILL FT TE 3,00-3,50 TPC;102451211;5TPC;2021-12-16 (1): 02/2023,;Maxim 480FS:fludioxonil Group 6M (f);800,00
Oak leaf lettuce;KIRIBATI;PR PILL FT TE 3,00-3,50 TPC;102452372;1TPC;2021-11-17 (1): 07/2022,;Maxim 480FS:fludioxonil Group 6M (f);271,00
Tomato;TRONUS;NS GSPP TPC;102452688;1TPC;2021-09-20 (1): 07/2023 (PBR not to sell),;None;19,00
Multi-leaf lettuce;EULER;PR PILL FT TE 3,00-3,50 TPC;102453254;5TPC;2021-12-16 (1): 02/2023,;Maxim 480FS:fludioxonil Group 6M (f);275,00
Gherkin;SHAKTHI;PR F-CT TPC;102453347;25TPC;2021-08-16 (1): 07/2023, 100% Agristar,;ProSeed:thiram (f);175,00
Multi-leaf lettuce;SARTRE;PR PILL FT TE 3,00-3,50 TPC;102460159;5TPC;2021-11-17 (1): 03/2023,;Maxim 480FS:fludioxonil Group 6M (f);495,00
Cos lettuce;THURINUS;PR PILL TE 3,00-3,50 TPC;102462574;5TPC;2021-11-17 (1): 12/2022,;None;295,00
Sweet pepper;SPINEL;PR TPC;102463051;500PC;2021-09-20 (1): 08/2023 PBR,;None;10,00
Multi-leaf lettuce;KLEE;PR PILL FT TE 3,00-3,50 TPC;102463779;5TPC;2021-12-16 (1): 03/2023,;Maxim 480FS:fludioxonil Group 6M (f);250,00
Sweet pepper;MARSELAN;PR F-CT TPC;102465138;1TPC;2021-12-16 (1): 08/2023,;Maxim 480FS:fludioxonil Group 1M (f);345,00
Cos lettuce;SALVIUS;PR PILL FT TE 3,00-3,50 TPC;102466421;5TPC;2021-12-16 (1): 03/2023,;Maxim 480FS:fludioxonil Group 6M (f);130,00
Melon;FINURA;PR F-CT TPC;102467215;5TPC;2021-11-17 (1): 08/2023,;Maxim 480FS:fludioxonil Group 1M (f);95,00
Melon;FINURA;PR F-CT TPC;102467218;10TPC;2021-11-17 (1): 08/2023,;Maxim 480FS:fludioxonil Group 1M (f);10,00
Melon;FINURA;PR F-CT TPC;102467219;5TPC;2021-11-17 (1): 08/2023,;Maxim 480FS:fludioxonil Group 1M (f);130,00
Cauliflower;PUNTOVERDE&O;PR F-CT 1,75-2,00 TPC;102468258;1TPC;2021-10-06 (1): 12/2022,;Maxim 480FS:fludioxonil Group 6M / Apron XL: metalaxyl M (Mefenoxam©) (f);70,00
Sweet pepper;AVANTE;PR F-CT TPC;102469113;500PC;2021-11-17 (1): 08/2023,;Maxim 480FS:fludioxonil Group 1M (f);166,50
Endive;KORBI;PR PILL 2,25-2,75 TPC;102469208;5TPC;2021-12-16 (1): 07/2023,;None;65,00
Cos lettuce;PATRONA;PR PILL FT TE 3,00-3,50 TPC;102469712;5TPC;2022-02-11 (1): 12/2023,;Maxim 480FS:fludioxonil Group 6M (f);390,00
White cabbage;BOLEROMA;NS F-CT TPC;102470878;2.5TPC;2021-12-16 (1): 09/2023,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);492,50
Oak leaf lettuce;ROUXAI;PR PILL FT TE 3,00-3,50 TPC;102471157;1TPC;2021-11-17 (1): 07/2022,;Maxim 480FS:fludioxonil Group 6M (f);8,00
Endive;ANCONI;PR PILL 2,25-2,75 TPC;102471829;5TPC;2021-12-16 (1): 07/2023,;None;1.000,00
Endive;ANCONI;PR PILL 2,25-2,75 TPC;102471829;5TPC;2021-12-16 (1): 07/2023,;None;90,00
Gem Lettuce;TUDELA;PR PILL FT TE 3,00-3,50 TPC;102472041;1TPC;2021-11-17 (1): 07/2022,;Maxim 480FS:fludioxonil Group 6M (f);86,00
Multi-leaf lettuce;COUSTEAU;PR PILL FT TE 3,00-3,50 TPC;102473768;1TPC;2021-12-16 (1): 08/2022,;Maxim 480FS:fludioxonil Group 6M (f);17,00
Multi-leaf lettuce;XANDRA;PR PILL FT TE 3,00-3,50 TPC;102473782;1TPC;2021-11-17 (1): 08/2022,;Maxim 480FS:fludioxonil Group 6M (f);38,00
