Crop;Variedade;Produto + Unidade de venda;Lote;Emb.;Vencimento embalagem;Chemical Treatment Name;Quantidade;
Cos lettuce;PATRONA;PR PILL FT TE 3,00-3,50 TPC;102502540;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 6M (f);710,000;
Cos lettuce;SALVIUS;PR PILL FT TE 3,00-3,50 TPC;102466421;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 6M (f);145,000;
Cos lettuce;THURINUS;PR PILL FT TE 3,00-3,50 TPC;102473988;5TPC;08/2022,;Maxim 480FS:fludioxonil Group 6M (f);325,000;
Cos lettuce;THURINUS;PR PILL TE 3,00-3,50 TPC;102462574;5TPC;12/2022,;None;295,000;
Crystal lettuce;LALIQUE;PR PILL FT TE 3,00-3,50 TPC;102492913;1TPC;04/2023,;Maxim 480FS:fludioxonil Group 6M (f);110,000;
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102169970;1TPC;01/2023 (BAS 0097_2022),;Maxim 480FS:fludioxonil Group 6M (f);128,000;
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102194752;1TPC;05/2022,;Maxim 480FS:fludioxonil Group 6M (f);925,000;
Cucurbita maxima (rootstock);FERRO;NS FT TPC;102214663;1TPC;06/2022,;Maxim 480FS:fludioxonil Group 6M (f);405,000;
Endive;ANCONI;PR PILL 2,25-2,75 TPC;102386107;5TPC;01/2023,;None;170,000;
Endive;ANCONI;PR PILL 2,25-2,75 TPC;102471829;5TPC;07/2023,;None;1.090,000;
Endive;ANCONI;PR PILL 3,00-3,50 TPC;102474253;5TPC;07/2023,;None;105,000;
Endive;ANCONI;PR PILL 3,00-3,50 TPC;102504334;5TPC;11/2022,;None;935,000;
Endive;KORBI;PR PILL 2,25-2,75 TPC;102469208;5TPC;07/2023,;None;65,000;
Endive;KORBI;PR PILL 2,25-2,75 TPC;102504472;5TPC;10/2022,;None;230,000;
Gem Lettuce;ASTORGA;PR PILL FT TE 3,00-3,50 TPC;102406179;5TPC;12/2022,;Maxim 480FS:fludioxonil Group 6M (f);50,000;
Gem Lettuce;ASTORGA;PR PILL FT TE 3,00-3,50 TPC;102449319;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);260,000;
Gem Lettuce;ROSAINE;PR PILL FT TE 3,00-3,50 TPC;102434928;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);15,000;
Gem Lettuce;TUDELA;PR PILL FT TE 3,00-3,50 TPC;102412687;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 6M (f);25,000;
Gem Lettuce;TUDELA;PR PILL FT TE 3,00-3,50 TPC;102472041;1TPC;07/2022,;Maxim 480FS:fludioxonil Group 6M (f);88,000;
Gem Lettuce;TUDELA;PR PILL FT TE 3,00-3,50 TPC;102489076;5TPC;04/2023,;Maxim 480FS:fludioxonil Group 6M (f);1.540,000;
Gherkin;SHAKTHI;PR F-CT TPC;102453347;25TPC;07/2023, 100% Agristar,;ProSeed:thiram (f);175,000;
Gherkin;SOUND &O;PR F-CT TPC;101910231;1TPC;01/2023 (BAS 0104_2022) Segunda Rean lise,;ProSeed:thiram (f);75,000;
Gherkin;SOUND &O;PR F-CT TPC;102370402;1TPC;03/2023,;ProSeed:thiram (f);111,000;
Gherkin;SOUND &O;PR F-CT TPC;102495902;1TPC;08/2023,;ProSeed:thiram (f);467,000;
Incised leaf lettuce;BELLAGON;PR PILL FT TE 3,00-3,50 TPC;102405059;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 6M (f);35,000;
Incised leaf lettuce;BELLAGON;PR PILL FT TE 3,00-3,50 TPC;102494710;5TPC;05/2023,;Maxim 480FS:fludioxonil Group 6M (f);830,000;
Incised leaf lettuce;DESIRADE;PR PILL FT TE 3,00-3,50 TPC;102434353;1TPC;06/2022,;Maxim 480FS:fludioxonil Group 6M (f);86,000;
Incised leaf lettuce;DESIRADE;PR PILL FT TE 3,00-3,50 TPC;102435682;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);610,000;
Incised leaf lettuce;DESIRADE;PR PILL FT TE 3,00-3,50 TPC;102475517;1TPC;08/2022,;Maxim 480FS:fludioxonil Group 6M (f);50,000;
Incised leaf lettuce;DESIRADE;PR PILL FT TE 3,00-3,50 TPC;102493003;5TPC;04/2023,;Maxim 480FS:fludioxonil Group 6M (f);1.280,000;
Leek;MATISSE;PR F-CT PM 1,75-2,00 TPC;102521485;1TPC;01/2023,;None;1.489,000;
Melon;CRUCIAL;PR F-CT TPC;120019443;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);2.235,000;
Melon;CRUCIAL;PR F-CT TPC;120019445;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);425,000;
Melon;CRUCIAL;PR F-CT TPC;120019447;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);220,000;
Melon;CRUCIAL;PR F-CT TPC;120019459;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);130,000;
Melon;CRUCIAL;PR F-CT TPC;120019461;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);85,000;
Melon;DOLSURA;PR F-CT TPC;101632859;5TPC;05/2022 R. (BAS 0474_2021),;ProSeed:thiram (f);740,000;
Melon;DOLSURA;PR F-CT TPC;101685665;5TPC;05/2022 R. (BAS 0475_2021),;ProSeed:thiram (f);75,000;
Melon;ELDOR;PR F-CT TPC;120024525;5TPC;10/2023,;Maxim 480FS:fludioxonil Group 1M (f);600,000;
Melon;ELDOR;PR F-CT TPC;120024529;10TPC;10/2023,;Maxim 480FS:fludioxonil Group 1M (f);2.960,000;
Melon;ELDOR;PR F-CT TPC;120025181;5TPC;11/2023,;Maxim 480FS:fludioxonil Group 1M (f);520,000;
Melon;ELDOR;PR F-CT TPC;120025197;10TPC;11/2023,;Maxim 480FS:fludioxonil Group 1M (f);1.470,000;
Melon;FINURA;PR F-CT TPC;102467215;5TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);95,000;
Melon;FINURA;PR F-CT TPC;102467218;10TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);10,000;
Melon;FINURA;PR F-CT TPC;102467219;5TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);130,000;
Melon;FINURA;PR F-CT TPC;120024290;5TPC;09/2023,;Maxim 480FS:fludioxonil Group 1M (f);135,000;
Melon;FINURA;PR F-CT TPC;120024304;5TPC;09/2023,;Maxim 480FS:fludioxonil Group 1M (f);240,000;
Melon;FINURA;PR F-CT TPC;120025035;10TPC;10/2023,;Maxim 480FS:fludioxonil Group 1M (f);730,000;
Melon;FINURA;PR F-CT TPC;120025179;10TPC;11/2023,;Maxim 480FS:fludioxonil Group 1M (f);400,000;
Melon;FLECHAVERDE;PR F-CT TPC;120001635;10TPC;05/2022,;Maxim 480FS:fludioxonil Group 1M (f);590,000;
Melon;FLECHAVERDE;PR F-CT TPC;120000558;5TPC;03/2022,;ProSeed:thiram (f);5,000;
Melon;FLECHAVERDE;PR F-CT TPC;120002655;10TPC;06/2022,;Maxim 480FS:fludioxonil Group 1M (f);1.030,000;
Melon;GALACTUS;PR F-CT TPC;101842422;5TPC;06/2022 R. (BAS 0504_21),;ProSeed:thiram (f);80,000;
Melon;GALACTUS;PR F-CT TPC;101930712;5TPC;06/2022 R.  (BAS 0506_21),;ProSeed:thiram (f);400,000;
Melon;GLADIAL;PR F-CT TPC;102159063;1TPC;03/2022,;Maxim 480FS:fludioxonil Group 1M (f);21,000;
Melon;GLADIAL;PR F-CT TPC;120012617;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);165,000;
Melon;GLADIAL;PR F-CT TPC;120012873;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);4.360,000;
Melon;GLADIAL;PR F-CT TPC;120012993;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 1M (f);2.615,000;
Melon;GLADIAL;PR F-CT TPC;120015220;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);2.820,000;
Melon;GLADIAL;PR F-CT TPC;120015228;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);1.415,000;
Melon;GLADIAL;PR F-CT TPC;120015782;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);985,000;
Melon;GLADIAL;PR TPC;120009090;5TPC;10/2022 SEM TRATAMENTO,;None;1.090,000;
Melon;GOLD;PR TPC;120014279;10TPC;02/2023 SEM TRATAMENTO,;None;40,000;
Melon;GOLD;PR TPC;120014275;10TPC;02/2023 SEM TRATAMENTO,;None;1.550,000;
Melon;LUAL;PR F-CT TPC;101234094;5TPC;06/2022 R. (BAS 0515_2021),;ProSeed:thiram (f);1.640,000;
Melon;MINITHOR;PR TPC;120006014;5TPC;08/2022 SEM TRATAMENTO,;None;460,000;
Melon;NATAL;PR F-CT TPC;101905687;1TPC;05/2022 R. (BAS 0402_2021),;ProSeed:thiram (f);2,000;
Melon;NATAL;PR F-CT TPC;120002438;10TPC;02/2023 (BAS 0132_2022),;Maxim 480FS:fludioxonil Group 1M (f);1.150,000;
Melon;NATAL;PR F-CT TPC;120026410;10TPC;12/2023,;Maxim 480FS:fludioxonil Group 1M (f);1.180,000;
Melon;NATAL;PR F-CT TPC;120026455;10TPC;12/2023,;Maxim 480FS:fludioxonil Group 1M (f);3.790,000;
Melon;NATAL;PR TPC;120018211;10TPC;05/2023 SEM TRATAMENTO,;None;570,000;
Melon;RICURA;PR F-CT TPC;120001143;5TPC;02/2023 (BAS 0131_2022),;Maxim 480FS:fludioxonil Group 1M (f);130,000;
Melon;RICURA;PR F-CT TPC;102474580;10TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);340,000;
Melon;RICURA;PR F-CT TPC;102474581;5TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);5,000;
Melon;RICURA;PR F-CT TPC;102474590;5TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);210,000;
Melon;RICURA;PR F-CT TPC;102475270;10TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);490,000;
Melon;RICURA;PR F-CT TPC;102475271;5TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);150,000;
Melon;RICURA;PR F-CT TPC;120006529;5TPC;09/2022,;Maxim 480FS:fludioxonil Group 1M (f);265,000;
Melon;SMILE;PR F-CT TPC;120022457;5TPC;01/2023,;ProSeed:thiram (f);340,000;
Melon;SMILE;PR F-CT TPC;120024606;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);90,000;
Melon;SMILE;PR F-CT TPC;102507502;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);430,000;
Melon;SMILE;PR F-CT TPC;102507505;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);320,000;
Melon;TIKAL;PR TPC;120004376;5TPC;08/2022 SEM TRATAMENTO,;None;200,000;
Mini cucumber;LARINO &S;PR F-CT TPC;102402170;100PC;03/2023,;Maxim 480FS:fludioxonil Group 6M (f);71,300;
Mini cucumber;PAZSTAR &S;PR F-CT TPC;101589996;500PC;06/2022 R. (BAS 052_2021),;ProSeed:thiram (f);42,000;
Multi-leaf lettuce;BARLACH;PR PILL FT TE 3,00-3,50 TPC;102511625;5TPC;05/2023,;Maxim 480FS:fludioxonil Group 6M (f);270,000;
Multi-leaf lettuce;BARLACH;PR PILL FT TE 3,00-3,50 TPC;102517641;5TPC;06/2023,;Maxim 480FS:fludioxonil Group 6M (f);720,000;
Multi-leaf lettuce;BARLACH;PR PILL FT TE 3,00-3,50 TPC;102532064;1TPC;12/2022,;Maxim 480FS:fludioxonil Group 6M (f);11,000;
Multi-leaf lettuce;COUSTEAU;PR PILL FT TE 3,00-3,50 TPC;102443290;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);585,000;
Multi-leaf lettuce;COUSTEAU;PR PILL FT TE 3,00-3,50 TPC;102473768;1TPC;08/2022,;Maxim 480FS:fludioxonil Group 6M (f);17,000;
Multi-leaf lettuce;COUSTEAU;PR PILL FT TE 3,00-3,50 TPC;102479791;5TPC;04/2023,;Maxim 480FS:fludioxonil Group 6M (f);760,000;
Multi-leaf lettuce;COUSTEAU;PR PILL FT TE 3,00-3,50 TPC;102511820;1TPC;10/2022,;Maxim 480FS:fludioxonil Group 6M (f);65,000;
Multi-leaf lettuce;EULER;PR PILL FT TE 3,00-3,50 TPC;102453254;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);290,000;
Multi-leaf lettuce;EULER;PR PILL FT TE 3,00-3,50 TPC;102480472;1TPC;08/2022,;Maxim 480FS:fludioxonil Group 6M (f);17,000;
Multi-leaf lettuce;KLEE;PR PILL FT TE 3,00-3,50 TPC;102463779;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 6M (f);290,000;
Multi-leaf lettuce;KLEE;PR PILL FT TE 3,00-3,50 TPC;102487376;1TPC;09/2022,;Maxim 480FS:fludioxonil Group 6M (f);187,000;
Multi-leaf lettuce;SARTRE;PR PILL FT TE 3,00-3,50 TPC;102460159;5TPC;03/2023,;Maxim 480FS:fludioxonil Group 6M (f);495,000;
Multi-leaf lettuce;SARTRE;PR PILL FT TE 3,00-3,50 TPC;102496391;5TPC;05/2023,;Maxim 480FS:fludioxonil Group 6M (f);915,000;
Multi-leaf lettuce;XANDRA;PR PILL FT TE 3,00-3,50 TPC;102443100;1TPC;06/2022,;Maxim 480FS:fludioxonil Group 6M (f);16,000;
Multi-leaf lettuce;XANDRA;PR PILL FT TE 3,00-3,50 TPC;102450100;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);440,000;
Multi-leaf lettuce;XANDRA;PR PILL FT TE 3,00-3,50 TPC;102473782;1TPC;08/2022,;Maxim 480FS:fludioxonil Group 6M (f);38,000;
Oak leaf lettuce;KIRIBATI;PR PILL FT TE 3,00-3,50 TPC;102451211;5TPC;02/2023,;Maxim 480FS:fludioxonil Group 6M (f);1.795,000;
Oak leaf lettuce;KIRIBATI;PR PILL FT TE 3,00-3,50 TPC;102452372;1TPC;07/2022,;Maxim 480FS:fludioxonil Group 6M (f);275,000;
Oak leaf lettuce;KRISTINE;PR PILL FT TE 3,00-3,50 TPC;102403536;5TPC;11/2022,;Maxim 480FS:fludioxonil Group 6M (f);215,000;
Oak leaf lettuce;KRISTINE;PR PILL FT TE 3,00-3,50 TPC;102474204;5TPC;12/2023,;Maxim 480FS:fludioxonil Group 6M (f);280,000;
Oak leaf lettuce;MONDAI;PR PILL FT TE 3,00-3,50 TPC;102381729;5TPC;10/2022,;Maxim 480FS:fludioxonil Group 6M (f);610,000;
Oak leaf lettuce;MONDAI;PR PILL FT TE 3,00-3,50 TPC;102439024;5TPC;01/2023,;Maxim 480FS:fludioxonil Group 6M (f);345,000;
Oak leaf lettuce;ROUXAI;PR PILL FT TE 3,00-3,50 TPC;102471157;1TPC;07/2022,;Maxim 480FS:fludioxonil Group 6M (f);9,000;
Oak leaf lettuce;ROUXAI;PR PILL FT TE 3,00-3,50 TPC;102478133;5TPC;01/2024,;Maxim 480FS:fludioxonil Group 6M (f);840,000;
Oak leaf lettuce;ROUXAI;PR PILL FT TE 3,00-3,50 TPC;102513865;1TPC;10/2022,;Maxim 480FS:fludioxonil Group 6M (f);59,000;
Oak leaf lettuce;ROUXAI;PR PILL FT TE 3,00-3,50 TPC;102522450;1TPC;11/2022,;Maxim 480FS:fludioxonil Group 6M (f);68,000;
Rootstock Capsicum;BEDROCK;NS F-CT TPC;102447031;1TPC;07/2023,;Maxim 480FS:fludioxonil Group 1M (f);71,000;
Rootstock solanaceae;EMBAJADOR;NS CT PM GSPP TPC;102509929;1TPC;10/2022,;None;950,000;
Rootstock solanaceae;EMBAJADOR;NS CT PM GSPP TPC;102529097;1TPC;10/2022,;None;696,000;
Rootstock solanaceae;EMBAJADOR;NS CT PM GSPP TPC;102530609;1TPC;05/2022,;None;280,000;
Rootstock solanaceae;RAMPART &S;NS CT TPC;101996001;1TPC;06/2022 R. (BAS 058_2021),;None;552,000;
Spinach;PILOTFISH &O;PR FT MPC;102374041;25TPC;09/2022,;Aatiram 65: thiram / Apron XL: metalaxyl M (Mefenoxam©) (f);1,700;
Spinach;SILVERWHALE;PR FT MPC;102264030;25TPC;05/2022,;ProSeed:thiram/ Apron XL:metalaxyl M (Mefenoxam©) (f);2,150;
Sweet pepper;ARAGONEZ;PR F-CT TPC;102493850;1TPC;10/2023,;Maxim 480FS:fludioxonil Group 1M (f);376,000;
Sweet pepper;ARANCIA;PR F-CT TPC;101939345;500PC;01/2023 (BAS 0121_2022) Segunda rean lise,;ProSeed:thiram (f);32,500;
Sweet pepper;ARANCIA;PR F-CT TPC;102369190;500PC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);32,000;
Sweet pepper;AVANTE;PR F-CT TPC;102418842;500PC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);68,000;
Sweet pepper;AVANTE;PR F-CT TPC;102469113;500PC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);166,500;
Sweet pepper;AVANTE;PR F-CT TPC;102339370;500PC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);71,500;
Sweet pepper;BACHATA;PR F-CT TPC;102065877;500PC;09/2022 R. (BAS 0070_2021),;ProSeed:thiram (f);36,000;
Sweet pepper;BACHATA;PR F-CT TPC;102234956;500PC;07/2022,;Maxim 480FS:fludioxonil Group 1M (f);305,000;
Sweet pepper;CRIPTONIO;PR F-CT TPC;102373134;1TPC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);2,000;
Sweet pepper;CRIPTONIO;PR F-CT TPC;102420351;1TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);351,000;
Sweet pepper;GUEMES&S;PR F-CT TPC;102432635;1TPC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);214,000;
Sweet pepper;MARSELAN;PR F-CT TPC;102465138;1TPC;08/2023,;Maxim 480FS:fludioxonil Group 1M (f);349,000;
Sweet pepper;OBEDIUS;PR F-CT TPC;101939064;500PC;01/2023 (BAS 0122_2022) Segunda rean lise,;ProSeed:thiram (f);3,000;
Sweet pepper;OBEDIUS;PR F-CT TPC;102441864;500PC;07/2023,;Maxim 480FS:fludioxonil Group 1M (f);98,000;
Sweet pepper;PAINITA;PR F-CT TPC;102369218;1TPC;03/2023,;Maxim 480FS:fludioxonil Group 1M (f);51,000;
Sweet pepper;PALERMO;PR F-CT TPC;102003049;500PC;06/2022 R. (BAS 0490_2021),;ProSeed:thiram (f);21,000;
Sweet pepper;PALERMO;PR F-CT TPC;102421890;500PC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);168,000;
Sweet pepper;RED JET;PR F-CT TPC;102198244;500PC;06/2022,;Maxim 480FS:fludioxonil Group 1M (f);83,000;
Sweet pepper;REDWING;PR F-CT TPC;102384710;500PC;04/2023,;Maxim 480FS:fludioxonil Group 1M (f);35,000;
Sweet pepper;REDWING;PR F-CT TPC;102432733;500PC;06/2023,;Maxim 480FS:fludioxonil Group 1M (f);88,500;
Sweet pepper;SPINEL;PR F-CT TPC;102398631;1TPC;05/2023,;Maxim 480FS:fludioxonil Group 1M (f);9,000;
Sweet pepper;SPINEL;PR F-CT TPC;102511860;1TPC;11/2023,;Maxim 480FS:fludioxonil Group 1M (f);270,000;
Sweet pepper;SVEN;PR F-CT TPC;102492809;500PC;09/2023,;Maxim 480FS:fludioxonil Group 1M (f);7,500;
Sweet pepper;SVEN;PR F-CT TPC;102531829;500PC;12/2023,;Maxim 480FS:fludioxonil Group 1M (f);25,500;
Sweet pepper;TARTA;PR F-CT TPC;102063446;500PC;08/2022 R. (BAS 0725_2021),;ProSeed:thiram (f);56,500;
Sweet pepper;TATIN;PR F-CT TPC;102062530;500PC;08/2022 R. (BAS 0724_2021),;ProSeed:thiram (f);24,500;
Sweet pepper;VERDIAL;PR TPC;102306179;500PC;11/2022,;None;36,000;
Sweet pepper;YOSEMITE;PR F-CT TPC;102450094;500PC;07/2023,;Maxim 480FS:fludioxonil Group 1M (f);94,500;
Sweet pepper;ZUPPA;PR F-CT TPC;102066296;500PC;08/2022 R. (BAS 0723_2021),;ProSeed:thiram (f);78,000;
Swiss chard;CHARLIE;PR MPC;102514312;25TPC;11/2023,;None;2,175;
Tomato;FARBINI;NS GSPP TPC;101853914;100PC;10/2022 R. (BAS 0777_2021),;None;7,600;
Tomato;FARBINI;NS GSPP TPC;101863919;100PC;10/2022 R. (BAS 0777_2021),;None;3,400;
Tomato;FRATELLINO;NS CT GSPP TPC;101913435;100PC;12/2022 R. (BAS 0972_2021),;None;40,500;
Tomato;GIACOMO;NS CT GSPP TPC;101510739;1TPC;12/2022 R. (BAS 0973_2021),;None;287,000;
Tomato;IDOLINI;PR CT GSPP TPC;101866601;100PC;12/2022 R. (BAS 0978_2021),;None;6,300;
Tomato;MAGGINO;NS CT GSPP TPC;101963187;100PC;10/2022 R. (BAS 0778_2021),;None;57,000;
Tomato;MALDINI;NS CT GSPP TPC;101857685;1TPC;12/2022 R. (BAS 0979_2021),;None;75,000;
Tomato;MESSINA;NS CT GSPP TPC;101922886;100PC;12/2022 R. (BAS 0977_2021),;None;0,600;
Tomato;MONTELIGA;NS CT GSPP TPC;102485796;1TPC;09/2023,;None;22,000;
Tomato;OPERINO;NS CT GSPP TPC;101853924;100PC;12/2022 R. (BAS 0976_2021),;None;16,800;
Tomato;OPERINO;NS CT GSPP TPC;101863921;100PC;12/2022 R. (BAS 0976_2021),;None;12,900;
Tomato;TATAMI;NS GSPP TPC;102279820;100PC;10/2022,;None;13,800;
Tomato;TRONUS;NS CT GSPP TPC;102434040;1TPC;07/2023,;None;1.003,000;
Tomato;TRONUS;NS CT GSPP TPC;102522051;1TPC;12/2023,;None;4.143,000;
Tomato;VALOURO;NS CT TPC;102057139;1TPC;08/2022 R. (BAS 0711_2021),;None;51,000;
Tomato;VALOURO;NS CT TPC;102210245;1TPC;06/2022,;None;270,000;
Watermelon;CAMPOLINA;PR F-CT TPC;102336563;1TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);1.057,000;
Watermelon;TIGRINHO;PR F-CT TPC;102282116;1TPC;10/2022,;Maxim 480FS:fludioxonil Group 1M (f);126,000;
Watermelon;TIGRINHO;PR F-CT TPC;102322502;1TPC;12/2022,;Maxim 480FS:fludioxonil Group 1M (f);849,000;
Watermelon;TIGRINHO;PR F-CT TPC;102322505;1TPC;01/2023,;Maxim 480FS:fludioxonil Group 1M (f);2.185,000;
White cabbage;BOLEROMA;NS F-CT TPC;102374312;2.5TPC;03/2023,;Maxim 480FS:fludioxonil Group 6M / Apron XL: metalaxyl M (Mefenoxam©) (f);107,500;
White cabbage;BOLEROMA;NS F-CT TPC;102470878;2.5TPC;09/2023,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);492,500;
White cabbage;SONSMA;PR F-CT 2,00-2,25 TPC;102403993;2.5TPC;07/2022,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);42,500;
Red cabbage;REDMA;NS F-CT TPC;102433022;1TPC;07/2022,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);1,000;
Red cabbage;REDMA;NS F-CT TPC;102485522;1TPC;07/2022,;Maxim 480FS:fludioxonil Group 5M / Apron XL: metalaxyl M (Mefenoxam©) (f);167,000;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
